cell line	organism	organism part	disease	age	developmental stage	sex	ancestry category	synonyms
OCI-LY-7	Homo sapiens	lymph node	B-cell lymphoma	not available	no available	not available	no available	no available
OCI-M2	Homo sapiens	blood	acute myeloid leukemia	not available	no available	not available	no available	no available
Okajima	Homo sapiens	stomach	gastric adenocarcinoma	not available	no available	not available	no available	no available
OVCA 420	Homo sapiens	ovary	ovarian carcinoma	not available	no available	female	no available	no available
OvCA 429	Homo sapiens	ovary	ovarian adenocarcinoma	not available	no available	female	no available	no available
OvCA 432	Homo sapiens	ovary	ovarian carcinoma	not available	no available	female	no available	no available
OVCAR433	Homo sapiens	ovary	ovarian carcinoma	not available	no available	female	no available	no available
PE01	Homo sapiens	ovary	ovarian adenocarcinoma	not available	no available	not available	no available	no available
PK-45P	Homo sapiens	pancreas	pancreatic carcinoma	not available	no available	not available	no available	no available
PK-8	Homo sapiens	pancreas	pancreatic carcinoma	not available	no available	not available	no available	no available
PL45	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma	not available	no available	male	no available	no available
RAJI	Homo sapiens	blood	malignant Burkitt's lymphoma	11 year	no available	male	no available	no available
RAMOS	Homo sapiens	blood	malignant Burkitt's lymphoma	3 year	no available	male	no available	no available
RERF-LC-OK	Homo sapiens	lung	lung adenocarcinoma	not available	no available	not available	no available	no available
RKO-E6	Homo sapiens	colon	colon carcinoma	not available	no available	not available	no available	no available
RPMI 2650	Homo sapiens	nasal septum	nasal septum squamous cell carcinoma	52 year	no available	male	no available	no available
SCLC-22H	Homo sapiens	lung	small cell lung carcinoma	46 year	no available	male	no available	no available
SET-2	Homo sapiens	blood	acute myeloid leukemia	not available	no available	not available	no available	no available
SJCRH30	Homo sapiens	skeletal muscle tissue	rhabdomyosarcoma	17 year	no available	male	no available	no available
SK23	Homo sapiens	zone of skin	melanoma	not available	no available	not available	no available	no available
SNU-484	Homo sapiens	stomach	gastric carcinoma	53 year	no available	male	no available	no available
SNU-638	Homo sapiens	stomach	gastric carcinoma	48 year	no available	male	no available	no available
SUM 1315M02	Homo sapiens	breast	breast ductal adenocarcinoma	not available	no available	not available	no available	no available
SUM 149PT	Homo sapiens	breast	breast ductal adenocarcinoma	not available	no available	female	no available	no available
SUM 159PT	Homo sapiens	breast	breast anaplastic carcinoma	not available	no available	female	no available	no available
SUM 229PE	Homo sapiens	breast	breast carcinoma	not available	no available	female	no available	no available
SUM 52PE	Homo sapiens	breast	breast carcinoma	not available	no available	not available	no available	no available
SW 1116	Homo sapiens	colon	colon adenocarcinoma	not available	no available	not available	no available	no available
SW 1417	Homo sapiens	colon	colon adenocarcinoma	not available	no available	female	no available	no available
SW 1463	Homo sapiens	colon	colon adenocarcinoma	66 year	no available	female	no available	no available
SW 403	Homo sapiens	colon	colon adenocarcinoma	not available	no available	not available	no available	no available
SW 48	Homo sapiens	colon	colon adenocarcinoma	82 year	no available	female	no available	no available
SW 480	Homo sapiens	colon	colon adenocarcinoma	50 year	no available	male	no available	no available
SW 527	Homo sapiens	breast	breast adenocarcinoma	not available	no available	female	no available	no available
SW 620	Homo sapiens	colon	colon adenocarcinoma	51 year	no available	male	no available	no available
SW 837	Homo sapiens	rectum	rectal adenocarcinoma	53 year	no available	male	no available	no available
SW 948	Homo sapiens	colon	colon adenocarcinoma	not available	no available	not available	no available	no available
SW 982	Homo sapiens	breast	breast synovial sarcoma	25 year	no available	female	no available	no available
TMD8	Homo sapiens	blood	diffuse large B-cell lymphoma	62 year	no available	male	no available	no available
TYK-nu.CP-r	Homo sapiens	ovary	ovarian carcinoma; high grade ovarian serous adenocarcinoma	not available	adult	not available; female	no available	no available
U-2932	Homo sapiens	blood	B-cell lymphoma	not available	no available	not available	no available	no available
UCSD-242l	Homo sapiens	zone of skin	melanoma	not available	no available	not available	no available	no available
UKE-1	Homo sapiens	blood	leukemia	not available	no available	not available	no available	no available
WiDr	Homo sapiens	colon	colon adenocarcinoma	not available	no available	not available	no available	no available
WSU-FSCCL	Homo sapiens	lymph node	B-cell lymphoma	37 year	no available	not available	no available	no available
YMB-1	Homo sapiens	breast	breast carcinoma	55 year	no available	female	no available	no available
YMB-1-E	Homo sapiens	breast	breast carcinoma	55 year	no available	female	no available	no available
A2780/CP70	Homo sapiens	ovary	Ovarian Endometrioid Adenocarcinoma	no available	adult	female	no available	no available
CaOv3	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma	no available	adult	female	no available	no available
primary fallopian tube epithelial cell	Homo sapiens	ovary	normal	no available	adult	female	no available	no available
HEY A8	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma	no available	adult	female	no available	no available
IGROV-1/CP	Homo sapiens	ovary	Ovarian Endometrioid Adenocarcinoma	no available	adult	female	no available	no available
IOSE-397	Homo sapiens	ovary	premalignant ovarian carcinoma	no available	adult	female	no available	no available
IOSE-7576	Homo sapiens	ovary	premalignant ovarian carcinoma	no available	adult	female	no available	no available
ME180C13	Homo sapiens	ovary	cervical squamous cell carcinoma	no available	adult	female	no available	no available
PEO4	Homo sapiens	ovary	ovarian cystadenocarcinoma	no available	adult	female	no available	no available
SKOV3IP	Homo sapiens	ovary	ovarian serous cystadenocarcinoma	no available	adult	female	no available	no available
TOV112DR	Homo sapiens	ovary	Ovarian Endometrioid Adenocarcinoma	no available	adult	female	no available	no available
tumour tissue from individual 1	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma	no available	adult	female	no available	no available
tumour tissue from individual 2	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma	no available	adult	female	no available	no available
tumour tissue from individual 3	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma	no available	adult	female	no available	no available
tumour tissue from individual 4	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma	no available	adult	female	no available	no available
tumour tissue from individual 5	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma	no available	adult	female	no available	no available
C125PM	Homo sapiens	colorectum	colorectal adenocarcinoma	no available	no available	no available	no available	no available
C135	Homo sapiens	colorectum	colorectal adenocarcinoma	no available	no available	no available	no available	no available
C70	Homo sapiens	colon	colorectal adenocarcinoma	no available	no available	no available	no available	no available
COLO201	Homo sapiens	colon	colon adenocarcinoma	no available	no available	no available	no available	no available
COLO320	Homo sapiens	colorectum	colon adenocarcinoma	no available	no available	no available	no available	no available
DiFi	Homo sapiens	colon	colorectal adenocarcinoma	no available	no available	no available	no available	no available
DLD1	Homo sapiens	colorectum	colorectal adenocarcinoma	no available	no available	no available	no available	no available
HCT8	Homo sapiens	ileum	colorectal adenocarcinoma	no available	no available	no available	no available	no available
HRA19	Homo sapiens	colorectum	colorectal adenocarcinoma	no available	no available	no available	no available	no available
Isreco-1	Homo sapiens	colorectum	colorectal adenocarcinoma	no available	no available	no available	no available	no available
Isreco-2	Homo sapiens	colorectum	colorectal adenocarcinoma	no available	no available	no available	no available	no available
Isreco-3	Homo sapiens	colorectum	colorectal adenocarcinoma	no available	no available	no available	no available	no available
LIM1863	Homo sapiens	colorectum	colorectal adenocarcinoma	no available	no available	no available	no available	no available
LIM1899	Homo sapiens	colorectum	colorectal adenocarcinoma	no available	no available	no available	no available	no available
LIM2099	Homo sapiens	colorectum	colorectal adenocarcinoma	no available	no available	no available	no available	no available
LIM2405	Homo sapiens	colorectum	colorectal adenocarcinoma	no available	no available	no available	no available	no available
LIM2537	Homo sapiens	colorectum	colorectal adenocarcinoma	no available	no available	no available	no available	no available
LIM2551	Homo sapiens	colorectum	colorectal adenocarcinoma	no available	no available	no available	no available	no available
SNU175	Homo sapiens	colorectum	colon adenocarcinoma	no available	no available	no available	no available	no available
SNUC2B	Homo sapiens	colorectum	colorectal adenocarcinoma	no available	no available	no available	no available	no available
SW1222	Homo sapiens	colorectum	colorectal adenocarcinoma	no available	no available	no available	no available	no available
VACO4S	Homo sapiens	colorectum	colorectal adenocarcinoma	no available	no available	no available	no available	no available
