cell line	cellosaurus name	cellosaurus accession	bto cell line	organism	organism part	sampling site	age	developmental stage	sex	ancestry category	disease	cell type	Material type	synonyms	curated
TC-32	TC-32	CVCL_7151	TC-32 cell	Homo Sapiens	Brain	Left ilium; Left ilium and adjacent soft tissue; Bone	17Y	Juvenile	Female	Caucasian	Primitive neuroectodermal tumor	no available	cell	TC32	curated
F-36E	F-36E	CVCL_7227	no available	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion	68Y	Elderly	Male	Japanese	Myelodysplastic syndrome	no available	cell	F-36EGM; F-36-EGM; F36E; F36EGM	curated
GM12878	GM12878	CVCL_7526	GM-12878 cell	Homo Sapiens	Blood	Peripheral blood	no available	no available	Female	Caucasian; Utah residents with ancestry from Northern and Western Europe	no available	no available	cell	GM 12878 CELL; GM12878 CELL; GM-12878; NAN	curated
HSQ-89	HSQ-89	CVCL_7674	no available	Homo Sapiens	Head and Neck	Maxillary sinus; Nose; Nasal cavity	74Y	Elderly	Male	Japanese	Maxillary sinus squamous cell carcinoma	no available	cell	HSQ89	curated
HCCLM6	HCCLM6	CVCL_7680	HCCLM-6 cell	Homo Sapiens	no available	no available	39Y	Adult	Male	Chinese	Adult hepatocellular carcinoma	no available	cell	LM6; HCCLM-6; LM6 CELL; HCCLM6 CELL	curated
MOLM-14	MOLM-14	CVCL_7916	MOLM-14 cell	Homo Sapiens	Blood	Peripheral blood	20Y	Adult	Male	Japanese	Acute myeloid leukemia	no available	cell	MOLM14 CELL; MOLM-14; MOLM14; MOLM 14	curated
WM-164	WM164	CVCL_7928	no available	Homo Sapiens	Skin	Arm	22Y	Adult	Male	Caucasian	Cutaneous melanoma	no available	cell	WM 164; WM-164	curated
21MT-1	21MT-1	CVCL_7931	no available	Homo Sapiens	Breast	Pleural effusion	37Y	Adult	Female	no available	Breast carcinoma	no available	cell	21-MT-1; 21MT1	curated
21MT-2	21MT-2	CVCL_7932	no available	Homo Sapiens	Breast	Pleural effusion	37Y	Adult	Female	no available	Breast carcinoma	no available	cell	21MT2; 21-MT-2	curated
21NT	21NT	CVCL_7933	no available	Homo Sapiens	Breast	Breast	36Y	Adult	Female	no available	Breast carcinoma	mammary gland epithelial cell	cell	21 NT	curated
21PT	21PT	CVCL_7934	no available	Homo Sapiens	Breast	Breast	36Y	Adult	Female	no available	Breast carcinoma	mammary gland epithelial cell	cell	21 PT	curated
253J	253J	CVCL_7935	253J cell	Homo Sapiens	Bladder	Retroperitoneal lymph node	53Y	Adult	Male	Caucasian	Bladder carcinoma	no available	cell	253J P CELL; 253-J CELL; 253JP; 253JP CELL; 253J-P; 253J P; 253J-PARENTAL; 253J-PARENTAL CELL; 253 J; 253-J; 253J-P CELL; 253J	curated
253JB-V	253J-BV	CVCL_7937	253J-BV cell	Homo Sapiens	Bladder	Retroperitoneal lymph node	53Y	Adult	Male	Caucasian	Bladder carcinoma	no available	cell	253J B-V CELL; 253J-BLADDER-V; 253JBV; 253JB-V; 253J B-V	curated
C666-1	C666-1	CVCL_7949	C666-1 cell	Homo Sapiens	Head and Neck	Nasopharynx	no available	no available	Male	Chinese	Nasopharyngeal carcinoma	no available	cell	C6661; C666-1	curated
KMCH-1	KMCH-1	CVCL_7970	KMCH cell	Homo Sapiens	Liver	Liver	52Y	Adult	Male	Japanese	Combined hepatocellular carcinoma and cholangiocarcinoma	no available	cell	KMCH; KMCH1	curated
STM91-01	STM91-01	CVCL_8000	no available	Homo Sapiens	Kidney	Lung	8M	no available	Male	no available	Rhabdoid tumor of the kidney	no available	cell	STM-91-01; STM9101	curated
TM87-16	Tm87-16	CVCL_8001	no available	Homo Sapiens	Soft Tissue	Pleural effusion	1Y	Infant	Male	Caucasian	Extrarenal rhabdoid tumor	no available	cell	TM87; TM87-16; TM 87-16; TM	curated
TTC-1240	TTC-1240	CVCL_8002	no available	Homo Sapiens	Soft Tissue	Brain	9M	no available	no available	no available	Rhabdoid tumor of the kidney	no available	cell	TTC1240; TTC 1240	curated
TTC-549	TTC-549	CVCL_8005	no available	Homo Sapiens	Soft Tissue	Liver	6M	no available	no available	no available	Extrarenal rhabdoid tumor	no available	cell	TTC549	curated
TTC-642	TTC-642	CVCL_8006	no available	Homo Sapiens	Soft Tissue	Neck	5M	no available	no available	no available	Extrarenal rhabdoid tumor	no available	cell	TTC642	curated
TTC-709	TTC-709	CVCL_8007	no available	Homo Sapiens	Soft Tissue	no available	no available	no available	no available	no available	Extrarenal rhabdoid tumor	no available	cell	TTC709	curated
T3M-5	T3M-5	CVCL_8064	no available	Homo Sapiens	Thyroid	Thyroid; Thyroid gland	71Y	Elderly	Female	Japanese	Thyroid gland squamous cell carcinoma	no available	cell	T3M5	curated
T3M-3	T3M-3	CVCL_8065	no available	Homo Sapiens	Placenta	no available	no available	no available	no available	Japanese	Gestational choriocarcinoma	no available	cell	T3M3	curated
T3M-10	T3M-10	CVCL_8067	no available	Homo Sapiens	Lung	Lymph node	40Y	Adult	Male	Japanese	Lung large cell carcinoma	no available	cell	T3M10	curated
JH-EsoAd1	JH-EsoAd1	CVCL_8098	no available	Homo Sapiens	Esophagus	Esophagus	66Y	Elderly	Male	Caucasian	Barrett adenocarcinoma	no available	cell	ESOAD1; JOHNS HOPKINS-ESOPHAGEAL ADENOCARCINOMA 1; JHESOAD1	curated
L3-3	L3.3	CVCL_8147	L3.3 cell	Homo Sapiens	Pancreas	Lymph node; Celiac axis lymph node	77Y	Elderly	Female	African American	Pancreatic adenosquamous carcinoma	no available	cell	L33	curated
SKG-II-SF	SKG-II-SF	CVCL_8159	no available	Homo Sapiens	Cervix	Cervix	50Y	Adult	Female	Japanese	Human papillomavirus-related squamous cell carcinoma	no available	cell	SKG-II-SERUM FREE; SKG-II SF	curated
C125-PM	C125-PM	CVCL_8175	no available	Homo Sapiens	Large Intestine	no available	no available	no available	no available	no available	Colorectal adenocarcinoma	no available	cell	C125; C125PM	curated
C99	C99	CVCL_8176	no available	Homo Sapiens	Large Intestine	Rectum	69Y	Elderly	Male	no available	Colorectal carcinoma	no available	cell	C99	curated
G-415	G-415	CVCL_8198	no available	Homo Sapiens	Biliary Tract	Ascites	68Y	Elderly	Male	no available	Bladder carcinoma	no available	cell	G415	curated
HB1119	HB11;19	CVCL_8227	no available	Homo Sapiens	Haematopoietic and Lymphoid	no available	no available	no available	no available	no available	B-cell acute lymphoblastic leukemia	no available	cell	HB11.19; 19); HB(11; HB1119; 19; HB 11	curated
HSKT-C	HSKT-C	CVCL_8234	no available	Homo Sapiens	Stomach	Ovary	46Y	Adult	Female	Japanese	Krukenberg tumor; Gastric carcinoma	no available	cell	HSKTC	curated
SZ-4	Sez-4	CVCL_8330	no available	Homo Sapiens	Blood	Peripheral blood	66Y	Elderly	Female	Black	Sezary syndrome	T cell	cell	SEZ 4; SZ-4; SEZ4	curated
NCOL-1	NCOL-1	CVCL_8375	no available	Homo Sapiens	Large Intestine	Left supraclavicular region	56Y	Adult	Male	Caucasian	Colon adenocarcinoma	no available	cell	NORMAL COLON-1	curated
RMZ	RMZ	CVCL_8422	no available	Homo Sapiens	Soft Tissue	Bone marrow	3Y	Children	Male	Caucasian	Alveolar rhabdomyosarcoma	no available	cell	RMZ	curated
TDL-4	TDL-4	CVCL_8431	no available	Homo Sapiens	Haematopoietic and Lymphoid	Jaw; Maxilla; Bone	11Y	Children	Male	African; Nigerian	Burkitt lymphoma	B cell	cell	TDL-4	curated
PEAZ-1	PEAZ-1	CVCL_8437	no available	Homo Sapiens	Soft Tissue	Bone; Acetabulum; Pelvis	35Y	Adult	Male	Caucasian	Fibrosarcoma	no available	cell	PEAZ-1	curated
A-1207	A-1207	CVCL_8481	A-1207 cell	Homo Sapiens	Brain	no available	no available	no available	Female	Caucasian	Glioblastoma	no available	cell	A1207; A 1207 CELL; A1207 CELL; A 1207	curated
UW228	UW228	CVCL_8585	no available	Homo Sapiens	Brain	Posterior fossa	9Y	Children	no available	no available	Medulloblastoma shh activated and tp53 mutant	no available	cell	UW 228; HBT 228; HBT228	curated
HOKUG	HOKUG	CVCL_8705	no available	Homo Sapiens	Cervix	Cervix	53Y	Adult	Female	Japanese	Cervical adenosquamous carcinoma	no available	cell	HOKUG	curated
HOTHC	HOTHC	CVCL_8708	no available	Homo Sapiens	Thyroid	Thyroid; Thyroid gland	80Y	Elderly	Female	Japanese	Thyroid gland undifferentiated (anaplastic) carcinoma	no available	cell	HOTHC	curated
HOTHC-SF	HOTHC-SF	CVCL_8709	no available	Homo Sapiens	Thyroid	Thyroid; Thyroid gland	80Y	Elderly	Female	Japanese	Thyroid gland undifferentiated (anaplastic) carcinoma	no available	cell	HOTHC-SERUM FREE	curated
HS-Os-1	HS-Os-1	CVCL_8716	no available	Homo Sapiens	Haematopoietic and Lymphoid	Bone; Left humerus	11Y	Children	Female	Japanese	Osteosarcoma	no available	cell	HSOS1	curated
HS-PSS	HS-PSS	CVCL_8717	no available	Homo Sapiens	Peripheral Nervous System	Prostate	no available	no available	Male	Japanese	Malignant peripheral nerve sheath tumor	no available	cell	HSPSS; HS-PSS	curated
HS-Sch-2	HS-Sch-2	CVCL_8718	no available	Homo Sapiens	Peripheral Nervous System	Left sciatic nerve; Peripheral nervous system	54Y	Adult	Female	Japanese	Malignant peripheral nerve sheath tumor	no available	cell	HSSCH2; HS-SCH-2	curated
HTMMT	HTMMT	CVCL_8721	no available	Homo Sapiens	Uterus	Uterus	66Y	Elderly	Female	Japanese	Uterine carcinosarcoma	no available	cell	HTMMT	curated
RH-28	Rh28	CVCL_8752	Rh-28 cell	Homo Sapiens	Soft Tissue	Axillary lymph node	17Y	Juvenile	Male	no available	Alveolar rhabdomyosarcoma	no available	cell	SJRH28; SJRH 28; RH 28; RH-28; RH28 CELL; SJRH-28; RH28	curated
TT1TKB	TT1TKB	CVCL_8764	no available	Homo Sapiens	Large Intestine	Rectum	no available	no available	Male	Japanese	Colorectal carcinoma	no available	cell	SHUFU	curated
HKMUS	HKMUS	CVCL_8776	no available	Homo Sapiens	Cervix	Cervix	50Y	Adult	Female	Japanese	Human papillomavirus-related squamous cell carcinoma	no available	cell	HKMUS	curated
PaCaDD-43	PaCaDD-43	CVCL_8781	no available	Homo Sapiens	Pancreas	Head; Pancreas	68Y	Elderly	Male	Caucasian	Pancreatic adenocarcinoma	no available	cell	PACADD-43	curated
PaCaDD-60	PaCaDD-60	CVCL_8782	no available	Homo Sapiens	Pancreas	Pleural effusion	56Y	Adult	Male	Caucasian	Pancreatic adenocarcinoma	no available	cell	PACADD-60	curated
K029AX	K029AX	CVCL_8784	no available	Homo Sapiens	Skin	no available	no available	no available	no available	Caucasian	Cutaneous melanoma	no available	cell	K029AX	curated
WM793B	WM793	CVCL_8787	WM-793B cell	Homo Sapiens	Skin	Skin	37Y	Adult	Male	Caucasian	Cutaneous melanoma	no available	cell	WM 793; WM-793; WM 793B CELL; WM-793B; WM-793 CELL; WML 793; WM793 CELL; WM 793 CELL; WM793B; WM 793B; WC00062; WM793B CELL	curated
SNU-1272	SNU-1272	CVCL_8788	no available	Homo Sapiens	Kidney	Kidney	63Y	Adult	Female	Korean	Clear cell renal cell carcinoma	no available	cell	NCI-SNU-1272; SNU1272	curated
MM1S	MM1.S	CVCL_8792	MM1-S cell	Homo Sapiens	Blood	Peripheral blood	42Y	Adult	Female	African American	Plasma cell myeloma	B cell	cell	MM.1S; MM.1S CELL; MM-1S CELL; MM-1S; MM1-S; MM1S; MM1.S CELL	curated
MM1R	MM1.R	CVCL_8794	MM1-R cell	Homo Sapiens	Blood	Peripheral blood	42Y	Adult	Female	African American	Plasma cell myeloma	B cell	cell	MM1.R; MM.1R CELL; MM-1R CELL; MM-1R; MM1.R CELL; MM.1R; MM1.R(L); MM1.RL; MM1R; MM1-R	curated
OCI-Ly10	OCI-Ly10	CVCL_8795	no available	Homo Sapiens	Haematopoietic and Lymphoid	Lymph node	66Y	Elderly	Female	Caucasian	Diffuse large b-cell lymphoma activated b-cell type	no available	cell	OCI-LY 10; OCILY-10; OCI-LY10; OCILY10; OCI LY10; LY10; OCI-LY-10	curated
OCI-Ly12	OCI-Ly12	CVCL_8796	no available	Homo Sapiens	Haematopoietic and Lymphoid	Lymph node	37Y	Adult	Male	no available	T-cell non-hodgkin's lymphoma; Grade 1 follicular lymphoma	no available	cell	OCI-LY 12; OCI LY12; OCI-LY-12; OCI-LY12; OCILY12; LY12	curated
OCI-Ly13-2	OCI-Ly13.2	CVCL_8797	no available	Homo Sapiens	Bone Marrow	Bone marrow	28Y	Adult	Female	no available	Diffuse large b-cell lymphoma	no available	cell	OCI LY13.2; OCILY132; OCI-LY13.2; OCI-LY 13-2; OCI-LY-13.2; LY13.2	curated
OCI-Ly3	OCI-Ly3	CVCL_8800	no available	Homo Sapiens	Bone Marrow	Bone marrow	52Y	Adult	Male	Caucasian	Diffuse large b-cell lymphoma activated b-cell type	no available	cell	LY3; OCILY-3; OCI-LY 3; OCI-LY03; OCI LY3; OCI-LY3; OCI-LY-3; OCILY3	curated
NB5	SJNB-5	CVCL_8822	NB5 cell	Homo Sapiens	Peripheral Nervous System	Bone marrow	2Y	Infant	Female	African American	Neuroblastoma	no available	cell	NB5; SJ-NB5; SJNB-5; NB5-DH; SJNB5; NJF	curated
NB6	SJNB-6	CVCL_8823	SJNB-6 cell	Homo Sapiens	Peripheral Nervous System	no available	no available	no available	Male	Caucasian	Neuroblastoma	no available	cell	SJNB-6; NB6-DH; SJNB6 CELL; SJ-NB-6; SJ-NB-6 CELL; SJNB6; N2307L; SJ-NB6; NB6	curated
GSS	GSS	CVCL_8876	no available	Homo Sapiens	Stomach	Liver	75Y	Elderly	Male	Japanese	Gastric carcinoma	no available	cell	GSS	curated
GSU	GSU	CVCL_8877	no available	Homo Sapiens	Stomach	Ascites	37Y	Adult	Male	Japanese	Gastric carcinoma	no available	cell	GSU	curated
Hey-A8	HEY A8	CVCL_8878	HEY-A8 cell	Homo Sapiens	Ovary	Ovary	no available	no available	Female	Caucasian	High grade ovarian serous adenocarcinoma	no available	cell	HEYA8 CELL; HEYA8; HEY-A8 CELL; HEYA8CELL; HEY A8 CELL; HEY A8; HEY-A8	curated
YD-10B	YD-10B	CVCL_8929	no available	Homo Sapiens	Mouth	Tongue	67Y	Elderly	Male	Korean	Tongue squamous cell carcinoma	no available	cell	YD10B	curated
YD-15	YD-15	CVCL_8930	no available	Homo Sapiens	Mouth	Tongue	39Y	Adult	Male	Korean	Tongue squamous cell carcinoma	no available	cell	YD15	curated
MUG-Chor1	MUG-Chor1	CVCL_9277	no available	Homo Sapiens	Bone	Sacrum; Sacral vertebrae	57Y	Adult	Female	White	Sacral chordoma	no available	cell	MUG-CHOR1; MEDICAL UNIVERSITY OF GRAZ-CHORDOMA 1; MUGCHOR1	curated
TE-3	TE-3	CVCL_9971	no available	Homo Sapiens	Esophagus	no available	no available	no available	Male	Japanese	Esophageal squamous cell carcinoma	no available	cell	TE3	curated
TE-7	TE-7	CVCL_9972	no available	Homo Sapiens	Esophagus	no available	no available	no available	Male	Japanese	Esophageal squamous cell carcinoma	no available	cell	TE7	curated
COLO-197	COLO 197	CVCL_9976	no available	Homo Sapiens	Blood	Peripheral blood	70Y	Elderly	Male	Caucasian	Non-cancerous	no available	cell	COLORADO 197; COLO-197	curated
COLO-200	COLO 200	CVCL_9977	no available	Homo Sapiens	Colon	Colon	70Y	Elderly	Male	Caucasian	Non-cancerous	no available	cell	COLORADO 200; COLO-200	curated
NCI-H684	NCI-H684	CVCL_9980	no available	Homo Sapiens	Colon	Liver	55Y	Adult	no available	no available	Colon adenocarcinoma	no available	cell	H684; NCIH684; H-684	curated
CHLA-258	CHLA-258	CVCL_A058	no available	Homo Sapiens	Bone	Lung	14Y	Juvenile	Female	no available	Ewing sarcoma	no available	cell	CHLA258	curated
950-5-BIK	950-5-BIK	CVCL_A1UH	no available	Homo Sapiens	Pancreas	Pancreas	no available	no available	no available	no available	Pancreatic ductal adenocarcinoma	no available	cell	9505BIK	curated
ECC2	ECC2	CVCL_A1UI	no available	Homo Sapiens	Biliary Tract	Bile duct	no available	no available	no available	no available	Cholangiocarcinoma	no available	cell	ECC2	curated
ICC10-6	ICC10-6	CVCL_A1UZ	no available	Homo Sapiens	Biliary Tract	no available	no available	no available	no available	no available	Intrahepatic cholangiocarcinoma	no available	cell	ICC106	curated
ICC10-8	ICC10-8	CVCL_A1VA	no available	Homo Sapiens	Biliary Tract	no available	no available	no available	no available	no available	Intrahepatic cholangiocarcinoma	no available	cell	ICC108	curated
ICC12	ICC12	CVCL_A1VC	no available	Homo Sapiens	Biliary Tract	no available	no available	no available	no available	no available	Intrahepatic cholangiocarcinoma	no available	cell	ICC12	curated
ICC15	ICC15	CVCL_A1VE	no available	Homo Sapiens	Biliary Tract	no available	no available	no available	no available	no available	Intrahepatic cholangiocarcinoma	no available	cell	ICC15	curated
ICC8	ICC8	CVCL_A1VG	no available	Homo Sapiens	Biliary Tract	no available	no available	no available	no available	no available	Intrahepatic cholangiocarcinoma	no available	cell	ICC8	curated
ICC9	ICC9	CVCL_A1VH	no available	Homo Sapiens	Biliary Tract	no available	no available	no available	no available	no available	Intrahepatic cholangiocarcinoma	no available	cell	ICC9	curated
UACC-62_CJ1	UACC62-RMR	CVCL_A1VN	no available	Homo Sapiens	Skin	Skin	no available	no available	no available	Caucasian	Melanoma	no available	cell	UACC62 RMR; UACC62 SKIN CJ1	curated
A375_CJ1	A375-RMR	CVCL_A1VP	no available	Homo Sapiens	Skin	Skin	54Y	Adult	Female	Caucasian	Amelanotic melanoma	no available	cell	A375 SKIN CJ1; A375-CJ1; A375 RMR	curated
LPS27	LPS27	CVCL_A1VQ	no available	Homo Sapiens	Soft Tissue	no available	no available	no available	no available	no available	Liposarcoma	no available	cell	LPS27	curated
LPS6	LPS6	CVCL_A1VR	no available	Homo Sapiens	Soft Tissue	no available	no available	no available	no available	no available	Liposarcoma	no available	cell	LPS6	curated
ICC3	ICC3	CVCL_A1ZB	no available	Homo Sapiens	Biliary Tract	no available	no available	no available	no available	no available	Intrahepatic cholangiocarcinoma	no available	cell	ICC3	curated
WM1799	WM1799	CVCL_A341	no available	Homo Sapiens	Skin	no available	no available	no available	Male	Caucasian	Melanoma	no available	cell	WM 1799; WM-1799	curated
HCC1588	HCC1588	CVCL_A351	no available	Homo Sapiens	Lung	Lung	63Y	Adult	Female	African American	Squamous cell lung carcinoma	no available	cell	HCC-1588; HAMON CANCER CENTER 1588	curated
HCC2108	HCC2108	CVCL_A352	no available	Homo Sapiens	Lung	Lung	59Y	Adult	Male	no available	Lung adenocarcinoma	no available	cell	HCC-2108; HAMON CANCER CENTER 2108	curated
HSC-39	HSC-39	CVCL_A385	no available	Homo Sapiens	Stomach	Ascites	54Y	Adult	Male	Japanese	Gastric signet ring cell adenocarcinoma	no available	cell	HSC39	curated
KBM-7	KBM-7	CVCL_A426	KBM-7 cell	Homo Sapiens	Bone Marrow	Bone marrow	39Y	Adult	Male	no available	 bcr-abl1 positive; Chronic myelogenous leukemia	no available	cell	KBM-7/HAP8; KBM7; KBM7 CELL	curated
CC-SW-1	CC-SW-1	CVCL_A429	no available	Homo Sapiens	Biliary Tract	Liver	55Y	Adult	Female	Caucasian	Intrahepatic cholangiocarcinoma	no available	cell	CC-SW-I; CCSW-1; CCSW1	curated
TTC-466	TTC-466	CVCL_A444	no available	Homo Sapiens	Bone	Pleural effusion; Lung	4Y-5Y	Children	Female	no available	Ewing sarcoma	no available	cell	TCC466; TTC466	curated
NCI-H3118	NCI-H3118	CVCL_A464	no available	Homo Sapiens	Mouth	no available	no available	no available	Female	Caucasian	Mucoepidermoid carcinoma of parotid gland	no available	cell	H-3118; H3118	curated
NCI-H1339	NCI-H1339	CVCL_A472	no available	Homo Sapiens	Lung	Pleural effusion	49Y	Adult	Female	White	Small cell lung carcinoma	no available	cell	NCIH1339; H-1339; H1339	curated
NCI-H1881	NCI-H1881	CVCL_A513	no available	Homo Sapiens	Lung	Bone marrow	59Y	Adult	Male	Caucasian	Small cell lung carcinoma	no available	cell	H-1881; H1881	curated
NCI-H2369	NCI-H2369	CVCL_A532	no available	Homo Sapiens	Lung	no available	no available	no available	Male	Caucasian	Malignant pleural mesothelioma	no available	cell	H-2369; H2369	curated
NCI-H2373	NCI-H2373	CVCL_A533	no available	Homo Sapiens	Lung	Lung; Pleura	no available	Adult	Male	Caucasian	Pleural sarcomatoid mesothelioma	no available	cell	H2373; H-2373; NCIH2373	curated
NCI-H2461	NCI-H2461	CVCL_A536	no available	Homo Sapiens	Lung	Lung; Pleura	no available	Adult	Male	Caucasian	Pleural epithelioid mesothelioma	no available	cell	NCIH2461; H2461; H-2461	curated
NCI-H2591	NCI-H2591	CVCL_A543	no available	Homo Sapiens	Lung	Lung; Pleura	no available	Adult	Male	Caucasian	Pleural epithelioid mesothelioma	no available	cell	H-2591; H2591; NCIH2591	curated
NCI-H2595	NCI-H2595	CVCL_A545	no available	Homo Sapiens	Lung	Lung; Pleura	no available	Adult	Male	Caucasian	Pleural epithelioid mesothelioma	no available	cell	NCIH2595; H2595; H-2595	curated
NCI-H290	NCI-H290	CVCL_A555	no available	Homo Sapiens	Lung	Pleural effusion	no available	no available	Male	Caucasian	Malignant pleural mesothelioma	no available	cell	HUT-290; H290; H-290; HUT 290; HUT290; H290: H-290	curated
NCI-H513	NCI-H513	CVCL_A570	no available	Homo Sapiens	Lung	Hypodermis	61Y	Adult	Male	African American	Lung adenosquamous carcinoma	no available	cell	HUT513; H513; NCIH513; H-513	curated
NCI-H854	NCI-H854	CVCL_A584	no available	Homo Sapiens	Colon	Colon	75Y	Elderly	Male	Caucasian	Colon adenocarcinoma	no available	cell	NCIH854; H-854; H854	curated
KMS-18	KMS-18	CVCL_A637	no available	Homo Sapiens	Blood	Peripheral blood	58Y	Adult	Male	Japanese	Plasma cell myeloma	no available	cell	KMS18; KAWASAKI MEDICAL SCHOOL-18	curated
SCMC-RM2	SCMC-RM2	CVCL_A667	no available	Homo Sapiens	Soft Tissue	Bone marrow	11Y	Children	Female	Japanese	Embryonal rhabdomyosarcoma	no available	cell	SCMC-RM-2; SCMCRM2; SCMC-R-2; SAITAMA CHILDREN'S MEDICAL CENTER-RHABDOMYOSARCOMA 2	curated
SCMC-RM2-1	SCMC-RM2-1	CVCL_A668	no available	Homo Sapiens	Soft Tissue	Bone marrow	11Y	Children	Female	Japanese	Embryonal rhabdomyosarcoma	no available	cell	SCMC-RM2-1	curated
U-178MG	U-178MG	CVCL_A758	no available	Homo Sapiens	Brain	Brain	56Y	Adult	Male	Caucasian	Brain astrocytoma	no available	cell	U178-MG; U-178 MG; 178MG; 178 MG(5); MG 178; 178 MG; U-178; U-178-MG; U178MG; U 178 MG	curated
SMS-CTR	SMS-CTR	CVCL_A770	no available	Homo Sapiens	Soft Tissue	Pelvic region	1Y	Infant	Male	no available	Embryonal rhabdomyosarcoma	no available	cell	SMS_CTR; SMSCTR	curated
HOUA-II	HOUA-II	CVCL_A778	no available	Homo Sapiens	Endometrium	Endometrium	55Y	Adult	Female	Japanese	Non-cancerous	no available	cell	HOUA-II	curated
RMS-YM	RMS-YM	CVCL_A792	no available	Homo Sapiens	Soft Tissue	Urachus	2Y	Infant	Male	Japanese	Embryonal rhabdomyosarcoma	no available	cell	RMSYM	curated
CHLA-06-ATRT	CHLA-06-ATRT	CVCL_AQ42	no available	Homo Sapiens	Brain	Cerebellum	4M	no available	Female	no available	Atypical teratoid rhabdoid tumor	no available	cell	CHLA06ATRT; CHLA-06	curated
EWS-834	EWS-834	CVCL_AW95	no available	Homo Sapiens	Bone	no available	no available	no available	no available	no available	Ewing sarcoma	no available	cell	EWS834	curated
COG-N-305	COG-N-305	CVCL_AX42	no available	Homo Sapiens	Peripheral Nervous System	no available	1Y-2Y	Infant	no available	no available	Neuroblastoma	no available	cell	COGN305	curated
COG-N-278	COG-N-278	CVCL_AX49	no available	Homo Sapiens	Peripheral Nervous System	no available	4Y-5Y	Children	no available	no available	Neuroblastoma	no available	cell	NB06C; COGN278	curated
